No;Author
6427; Halevy A, 2016, SIGMOD'16: PROCEEDINGS OF THE, P795 5 22  
6429; Papenbrock T, 2016, SIGMOD'16: PROCEEDINGS OF THE, P821 2 14  
6439; Chai CL, 2016, SIGMOD'16: PROCEEDINGS OF THE, P969 5 14  
6455; Bi F, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1199 3 16  
6466; Battle L, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1363 2 11  
6472; Roy P, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1449 2 9  
6479; Zhang H, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1567 3 8  
6481; Yoon DY, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1599 3 3  
6483; Yu XY, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1629 3 11  
6486; Kim K, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1675 4 11  
6496; Hadian A, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1829 4 5  
6502; Das S, 2016, SIGMOD'16: PROCEEDINGS OF THE, P1923 2 2  
6509; Zheng YX, 2016, SIGMOD'16: PROCEEDINGS OF THE, P2023 2 5  
6519; Hai RH, 2016, SIGMOD'16: PROCEEDINGS OF THE, P2097 2 15  
6529; Milo T, 2016, SIGMOD'16: PROCEEDINGS OF THE, P2137 3 4  
6557; Qin W, 2016, SIGMOD'16: PROCEEDINGS OF THE, P2255 2 2  
6707; Zhao H, 2017, IEEE DATA MINING, P635 4 20  
6716; Budhathoki K, 2017, IEEE DATA MINING, P751 2 3  
6721; Che ZP, 2017, IEEE DATA MINING, P787 2 4  
7416; Baytas IM, 2017, KDD'17: PROCEEDINGS OF THE 23, P65 4 18  
7423; Dong YX, 2017, KDD'17: PROCEEDINGS OF THE 23, P135 13 58  
7431; Hallac D, 2017, KDD'17: PROCEEDINGS OF THE 23, P215 3 10  
7441; Li P, 2017, KDD'17: PROCEEDINGS OF THE 23, P315 2 4  
7442; Lian DF, 2017, KDD'17: PROCEEDINGS OF THE 23, P325 4 7  
7448; Ribeiro LFR, 2017, KDD'17: PROCEEDINGS OF THE 23, P385 9 36  
7454; Spring R, 2017, KDD'17: PROCEEDINGS OF THE 23, P445 4 9  
7456; Tolomei G, 2017, KDD'17: PROCEEDINGS OF THE 23, P465 2 5  
7460; Wang SB, 2017, KDD'17: PROCEEDINGS OF THE 23, P505 3 2  
7466; Zang CX, 2017, KDD'17: PROCEEDINGS OF THE 23, P565 2 4  
7474; Zhou DW, 2017, KDD'17: PROCEEDINGS OF THE 23, P655 2 4  
7475; Zhou C, 2017, KDD'17: PROCEEDINGS OF THE 23, P665 4 12  
7481; Bojchevski A, 2017, KDD'17: PROCEEDINGS OF THE 23, P737 2 5  
7482; Cao BK, 2017, KDD'17: PROCEEDINGS OF THE 23, P747 2 5  
7484; Chen T, 2017, KDD'17: PROCEEDINGS OF THE 23, P767 2 4  
7486; Choi E, 2017, KDD'17: PROCEEDINGS OF THE 23, P787 7 22  
7500; Li HY, 2017, KDD'17: PROCEEDINGS OF THE 23, P927 2 7  
7504; Ma FL, 2017, KDD'17: PROCEEDINGS OF THE 23, P967 3 9  
7520; Ustun B, 2017, KDD'17: PROCEEDINGS OF THE 23, P1125 2 3  
7521; Wang H, 2017, KDD'17: PROCEEDINGS OF THE 23, P1135 2 7  
7532; Yang C, 2017, KDD'17: PROCEEDINGS OF THE 23, P1245 4 23  
7539; Zhang YT, 2017, KDD'17: PROCEEDINGS OF THE 23, P1315 2 4  
7544; Bao J, 2017, KDD'17: PROCEEDINGS OF THE 23, P1377 2 20  
7546; Borisyuk F, 2017, KDD'17: PROCEEDINGS OF THE 23, P1397 2 3  
7547; Chojnacki A, 2017, KDD'17: PROCEEDINGS OF THE 23, P1407 2 3  
7555; Golovin D, 2017, KDD'17: PROCEEDINGS OF THE 23, P1487 2 21  
7557; Hou SF, 2017, KDD'17: PROCEEDINGS OF THE 23, P1507 2 10  
7572; Tong YX, 2017, KDD'17: PROCEEDINGS OF THE 23, P1653 2 18  
7574; Wang JY, 2017, KDD'17: PROCEEDINGS OF THE 23, P1673 2 4  
7577; Zhu J, 2017, KDD'17: PROCEEDINGS OF THE 23, P1703 3 3  
7595; Liu QL, 2017, KDD'17: PROCEEDINGS OF THE 23, P1883 2 2  
7597; Ma FL, 2017, KDD'17: PROCEEDINGS OF THE 23, P1903 8 25  
7600; Okura S, 2017, KDD'17: PROCEEDINGS OF THE 23, P1933 4 19  
7612; Wang XJ, 2017, KDD'17: PROCEEDINGS OF THE 23, P2051 2 23  
7617; Yang F, 2017, KDD'17: PROCEEDINGS OF THE 23, P2101 2 3  
7618; Yang S, 2017, KDD'17: PROCEEDINGS OF THE 23, P2111 2 7  
7621; Zhang LH, 2017, KDD'17: PROCEEDINGS OF THE 23, P2141 2 10  
7626; Zhu H, 2017, KDD'17: PROCEEDINGS OF THE 23, P2191 2 5  
7634; Dayan N, 2017, SIGMOD'17: PROCEEDINGS OF THE, P79 3 9  
7659; Jiang JW, 2017, SIGMOD'17: PROCEEDINGS OF THE, P463 2 11  
7660; Guo T, 2017, SIGMOD'17: PROCEEDINGS OF THE, P479 2 3  
7666; Bailis P, 2017, SIGMOD'17: PROCEEDINGS OF THE, P541 2 10  
7669; Park Y, 2017, SIGMOD'17: PROCEEDINGS OF THE, P587 3 6  
7677; Kester MS, 2017, SIGMOD'17: PROCEEDINGS OF THE, P715 3 5  
7682; Jung J, 2017, SIGMOD'17: PROCEEDINGS OF THE, P789 2 4  
7685; Li H, 2017, SIGMOD'17: PROCEEDINGS OF THE, P835 2 3  
7689; Park H, 2017, SIGMOD'17: PROCEEDINGS OF THE, P913 2 2  
7697; Verbitski A, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1041 2 10  
7714; Wu X, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1307 2 4  
7720; Rekatsinas T, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1399 2 8  
7721; Kou NM, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1415 2 3  
7726; Gan JH, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1493 2 4  
7759; Kankanamge C, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1695 2 4  
7763; Li GL, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1711 2 14  
7764; Kumar A, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1717 2 8  
7765; Polyzotis N, 2017, SIGMOD'17: PROCEEDINGS OF THE, P1723 3 12  
7793; Kairouz P, 2017, IEEE T INFORM THEORY, V63, P4037 4 15  
